,date,adj_close,mean_compound
0,2009-04-22,15.403722763061525,-0.5574
1,2009-05-06,15.559576988220215,0.6705
2,2009-07-16,16.432828903198242,0.7207
3,2009-07-17,16.260963439941403,0.0
4,2009-08-17,16.367008209228516,-0.1366
5,2009-08-24,16.849681854248047,0.0
6,2009-09-29,17.953975677490234,-0.0516
7,2009-10-12,18.283071517944336,0.24655
8,2009-10-15,19.13456153869629,-0.07655
9,2009-10-16,18.9576358795166,0.0
10,2009-10-21,18.85442352294922,0.5106
11,2009-10-27,18.880226135253906,0.4404
12,2009-10-30,18.640626907348636,-0.21075
13,2011-03-29,18.605880737304688,-0.02039999999999999
14,2011-03-31,18.863548278808594,-0.2621
15,2011-04-04,19.32503700256348,-0.1943
16,2011-04-12,19.6250057220459,0.128
17,2011-04-14,19.799711227416992,0.0
18,2011-04-15,20.149110794067386,0.0
19,2011-04-26,20.098651885986328,0.6369
20,2011-04-27,20.25782012939453,0.0
21,2011-05-02,20.416994094848636,0.0
22,2011-05-24,20.704286575317386,-0.0772
23,2011-05-27,20.01324462890625,0.0
24,2011-06-06,19.80747985839844,-0.2023
25,2011-07-08,20.704286575317386,0.1118
26,2011-07-14,20.82586669921875,0.0
27,2011-07-15,20.778865814208984,-0.1806
28,2011-07-25,20.598648071289066,-0.47355
29,2011-08-15,19.552661895751953,-0.06561428571428572
30,2011-10-14,20.84729766845703,0.294675
31,2012-02-28,22.74587821960449,-0.5859
32,2012-04-12,24.018268585205078,0.0
33,2012-04-13,23.965978622436523,-0.02573333333333333
34,2012-04-17,24.303815841674805,-0.4215
35,2012-04-18,24.31588363647461,0.0
36,2012-04-25,24.774370193481445,-0.2732
37,2012-05-11,24.951326370239254,0.0
38,2012-05-16,25.15643882751465,0.0
39,2012-05-18,24.76230049133301,0.3724
40,2012-05-24,25.10415458679199,-0.39476666666666665
41,2012-07-17,26.938175201416016,-0.6124
42,2012-07-23,26.200477600097656,-0.1027
43,2012-08-01,26.79225730895996,-0.3818
44,2012-08-07,26.76388359069824,0.1779
45,2012-08-09,26.638227462768555,-0.4404
46,2012-08-13,26.747669219970703,0.0
47,2012-08-14,26.82062339782715,0.0
48,2012-08-27,26.638227462768555,0.0
49,2012-09-05,26.65038871765137,-0.2023
50,2012-09-20,28.316295623779297,0.4973
51,2012-09-25,28.198745727539066,-0.1591
52,2012-09-26,28.04471015930176,0.0
53,2012-09-27,28.097415924072266,0.34425
54,2012-10-04,28.689189910888672,0.2732
55,2012-10-18,27.20832061767578,0.0
56,2012-10-19,27.00826072692871,0.20095
57,2012-10-23,26.68570899963379,-0.4215
58,2012-11-08,25.91813468933105,0.0
59,2012-11-09,26.47340583801269,0.0772
