,company,MAE,MSE,Accuracy,RMSE
0,AAPL,0.7784954951359677,0.944502760147682,[98.452194],0.9718553185262104
1,AMZN,31.18201372195513,1742.6094171222967,[98.213585],41.744573505095204
2,ADM,0.4806717994885568,0.34819764516391755,[98.81486],0.5900827443366884
3,GOOG,17.1291250375601,443.4333783617006,[98.53316],21.057857876852065
4,EBAY,0.49145368429330694,0.38733381868776834,[98.53079],0.6223614855433844
5,XOM,0.8406620514698517,1.111971061834573,[98.71703],1.0545003849380867
6,ABT,0.9721049479949168,1.4583108510090352,[98.697174],1.207605420246628
