,company,MAE,MSE,Accuracy,RMSE
0,AAPL,0.7197289637835378,0.7227642205410474,[98.636536],0.8501554096405242
1,AMZN,23.686172098072653,986.6112073578964,[98.71066],31.41036783226036
2,ADM,0.49970739141938664,0.37368225141939293,[98.72686],0.6112955516109969
3,GOOG,16.543174472557112,412.5197142923848,[98.64294],20.31058133811991
4,EBAY,0.5047156048305145,0.3919001770334182,[98.63515],0.6260193104317295
5,XOM,0.7849611776129246,0.9231626459345376,[98.7771],0.9608135333843594
6,ABT,0.912349952659026,1.372889822840024,[98.87398],1.171703811908122
