,company,MAE,MSE,Accuracy,RMSE
0,AAPL,0.6963954940735109,0.6877857171425407,[98.677795],0.8293284736113554
1,AMZN,23.2730613747224,949.8893765193711,[98.73249],30.820275412776102
2,ADM,0.4858594206989115,0.3508728356751393,[98.760956],0.5923451997569823
3,GOOG,16.622253727791882,408.51997896060743,[98.63744],20.211877175576923
4,EBAY,0.49424579058806944,0.3811347014658532,[98.66494],0.6173610786775056
5,XOM,0.8075983270170729,0.9791477547255573,[98.7408],0.9895189511704954
6,ABT,0.9084035031081457,1.360721532446876,[98.87846],1.166499692433254
